Name,Kategorien,Adresse,Kontaktinformationen,Öffnungszeiten,Website URL,Beschreibung,Image Source URLs,Sonstiges
Johannis Apotheke,"Apotheke, Gesundheit und Kosmetik","Mainzer Straße 38, 66111 Saarbrücken",+49 681 62445,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",https://www.johannis-apotheke-saarbruecken.de,null,null,null
Juwelier Hüther,"Damenuhren, Herrenuhren, Schmuck/Uhren, Uhrmacher","Sulzbachstraße 22, 66111 Saarbrücken",+49 681 33525,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",https://www.juwelierhuether.de/,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2024/01/108262_x_y_e7183f_01.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2024/01/108263_x_y_53019b_01.jpg",null
APTE! Fashion,"Bekleidung/Accessoires, Damenmode, Damenschmuck, Damenschuhe, Herrenmode, Herrenschmuck, Herrenschuhe, Lederwaren, Schmuck/Uhren, Schuhe","Fröschengasse 19, 66111 Saarbrücken",+49 681 3838191,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.aptefashion.com,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107970_x_y_764d9e_12.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107969_x_y_d2290d_12.jpg",null
CB Parfümerie,"Düfte, Gesundheit und Kosmetik, Make-up, Naturkosmetik, Parfümerie, Drogerie, Pflege","Fürstenstraße 7, 66111 Saarbrücken", +49 6848 700425,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.parfuemerie-cb.de,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107977_x_y_d5462a_12.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107978_x_y_24bd70_12.jpg",null
Bock & Seip,"Basteln, Malen, Geschenkartikel, Bücher, Musik, Filme, Computer-Software, Elektronik, Computer, Fachbücher, Fairtrade, Film, Futtermarkt, Lebensmittel, Musik, Sachbücher, Schreibwaren/Bürobedarf, Schulbücher, Spiele & Puzzle, Spielwaren, Zeitschriften","Futterstraße 2, 66111 Saarbrücken",+49 681 306770,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.bock-seip.de,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107975_x_y_473562_12.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107974_x_y_e949bb_12.jpg",null
Contigo Fairtrade Shop,"Bekleidung/Accessoires, Lebensmittel, Möbel & Haushaltswaren","St. Johanner Markt 27, 66111 Saarbrücken",+49 681 30984086,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.saarbruecken.contigo.de,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107980_x_y_edb31d_12.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107979_x_y_24dc0b_12.jpg",null
Die Kaffeebohne,"Feinkost, Lebensmittel","Bahnhofstraße 36, 66111 Saarbrücken",+49 681 32 426,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",https://diekaffeebohne.de/,"Die Kaffeebohne ist ein kleines, feines Geschäft in der Saarbrücker Bahnhofstraße, in dem es hauptsächlich um Kaffee geht. Seit 1950 rösten sie ihre Bohnen im schonenden Trommelröstverfahren und legen dabei großen Wert auf Qualität und Sorgfalt. Die gilt auch für die Auswahl des Rohkaffees: zusammen mit einem Bremer Kaffeehändler beziehen sie die Bohnen von kleineren Kaffeeplantagen mit allerhöchsten Qualitätsansprüchen. Dafür braucht es vor allem den Verzicht auf Pestizide und die Fokussierung auf einen nachhaltigen Landwirtschaftsbetrieb.","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107985_x_y_c054dd_12.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107984_x_y_a5727c_12.jpg",null
Wind-Sport,"Bekleidung/Accessoires, Damenmode, Damenschuhe, Damenuhren, Herrenmode, Herrenschuhe, Herrenuhren, Kinderschuhe, Lederwaren, Rucksäcke & Taschen, Schmuck/Uhren, Schuhe, Snowboard, Skateboard, Sportausrüstung, Outdoor, Sportschuhe, Sportswear","Fröschengasse 4, 66111 Saarbrücken",+49 681 39204,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.wind-sport.de,"Eine absolute Institution für alle Skate- und Snowboard-Liebhaber, die seit Jahren den Puls ihrer Kunden kennt. Ob die Riesenauswahl an Bekleidung , Schuhe, entsprechende Hardware oder schöne Accessoires, in dem sympathischen Shop im Herzen von Saarbrücken bleibt kein Wunsch offen. An Wind kommt man in diesem Bereich nicht vorbei. Auf zwei Etagen können die Kunden bei bester Beratung in einer lockeren Atmosphäre in aller Ruhe einkaufen und auch fachsimpeln.","https://einkaufen.saarbruecken.de/cache/media/attachments/2024/01/108214_x_y_2cc4cb_01.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2024/01/108215_x_y_19729e_01.jpg",null
La Scarpa by Piero,Schuhe,"Kappenstraße 5, 66111 Saarbrücken",+49 681 375353,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",null,null,https://einkaufen.saarbruecken.de/cache/media/attachments/2024/01/108222_x_y_a46a0c_01.jpg,null
Martinshof,"Fairtrade, Feinkost, Lebensmittel, Supermarkt","Diskontopassage, 66111 Saarbrücken",+49 681 3908650,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.martinshof.de,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2024/01/108232_x_y_0d6000_01.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2024/01/108233_x_y_fb63bb_01.jpg",null
Fruchteria,"Feinkost, Lebensmittel, Sonstiges, Souvenirartikel, Spirituosen","Nauwieser Straße 39, 66111 Saarbrücken",+49 681 95812521 ,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.fruchteria.de,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2020/02/75587_x_y_7d94ff_02.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2020/02/75583_x_y_cf6247_02.jpg",null
Monsieur Moden,"Bekleidung/Accessoires, Herrenmode, Herrenschuhe, Lederwaren, Sportausrüstung, Outdoor, Sportswear","Fröschengasse 8, 66111 Saarbrücken",+49 681 34112,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.monsieur-moden.de,"Monsieur Moden Patricia Braun , das bedeutet Klassik mit Pfiff! Sie suchen exklusive Herrenmode, klassisch oder sportlich? Dann sind Sie bei Monsieur Moden in Saarbrücken am St. Johanner Markt genau richtig! Hier wird seit 1971 hochwertige Herrenmode mit außerordentlicher Qualität und Auswahl geboten. Das großzügige Sortiment umfasst alle Größen von Kleidergröße 46 bis 60. Bei Monsieur Moden sind Sie jederzeit mit Ihren Wünschen gut aufgehoben, überzeugen Sie sich selbst und kommen Sie nach Saarbrücken!","https://einkaufen.saarbruecken.de/cache/media/attachments/2024/01/108217_x_y_38dbb6_01.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2024/01/108216_x_y_5926c0_01.jpg",null
HaarCreativ UG,"Friseur, Gesundheit und Kosmetik","Neumarkt 4, 66117 Saarbrücken",+49 151 70323621,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",https://haar-creativ-martina.de,null,null,null
